applid,coreproject,pmid
10400445,UM1DA049417,33091844
10400445,UM1DA049417,33059200
10474728,UM1DA049415,33086156
10400445,UM1DA049415,33152673
10400445,UM1DA049415,33091843
10143219,UM1DA049415,33810910
10400445,UM1DA049415,33059200
10474728,UM1DA049415,33070058
10400445,UM1DA049415,33091844
10167659,UM1DA049415,34145186
10400445,UM1DA049415,33248391
10400445,UM1DA049415,33757707
10474728,UM1DA049415,33091842
10400445,UM1DA049415,34499540
10400445,UM1DA049415,33298298
10400445,UM1DA049415,33152672
10143219,UM1DA049415,33518022
10400445,UM1DA049415,33761404
10395037,UM1DA049415,31646686
10474728,UM1DA049412,33086156
10400445,UM1DA049412,33248391
10400445,UM1DA049412,33298298
10400445,UM1DA049412,33152672
10400445,UM1DA049412,33757707
10400445,UM1DA049412,32530889
10400445,UM1DA049412,33091843
10400445,UM1DA049412,33152673
10400445,UM1DA049412,34499540
10400445,UM1DA049412,34159545
10451986,UM1DA049412,32842044
10463965,UM1DA049412,33587441
10512220,UM1DA049412,32972644
10400445,UM1DA049412,33059200
10400445,UM1DA049412,33091844
10400445,UM1DA049412,34297070
10400445,UM1DA049412,33761404
10400445,UM1DA049406,33248391
10474728,UM1DA049406,33091842
10474728,UM1DA049406,33086156
10400445,UM1DA049406,33152672
10400445,UM1DA049406,33761404
10474728,UM1DA049406,33070058
10255195,UM1DA049406,33075691
10400445,UM1DA049406,33059200
10142414,UM1DA049406,10547116
10400445,UM1DA049406,33091844
10400445,UM1DA049406,34499540
10400445,UM1DA049406,33091843
10400445,UM1DA049406,33152673
10400445,UM1DA049394,33059200
10474728,UM1DA049394,33091842
10474728,UM1DA049394,33070058
10400445,UM1DA049394,33091843
10400445,UM1DA049394,33248391
10400445,UM1DA049394,34499540
10474728,UM1DA049394,33086156
10395037,UM1DA049394,31646686
10400445,UM1DA049394,33152672
10400445,UM1DA049394,33298298
10400445,UM1DA049394,33091844
10400445,UM1DA049394,33152673
10400445,UM1DA049394,33757707
10400445,UM1DA049394,33761404
10310774,UH3NS115631,33953663
10239201,UH3NS115631,33003443
10447304,UH3NS115631,33462446
9786245,R44NS086343,32773946
9786245,R44NS086343,28424512
9968787,R44NS086343,30535004
10199982,R44NS086343,25440006
10254262,R44NS086343,25448007
9786245,R44NS086343,25677777
10199982,R44NS086343,26290245
9786245,R44NS086343,28001346
9786245,R44NS086343,26190460
10012518,R44NS086343,28482635
10267563,R44DA044062,31856951
10225152,R44DA041912,28983099
10063577,R44DA041912,29049116
10225152,R44DA041912,28596533
10512220,R01DA046527,33587136
10355194,R01DA046527,33320266
10126824,R01DA046527,32782097
